Date : 2024-04-17 14:21:23
Directory : /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime
Total : 218 files,  20101 codes, 12190 comments, 3597 blanks, all 35888 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |        217 |     20,085 |     12,190 |      3,597 |     35,872 |
| UnityAssemblyDefinition |          1 |         16 |          0 |          0 |         16 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        218 |     20,101 |     12,190 |      3,597 |     35,888 |
| . (Files)                                                                                                                                             |          1 |         16 |          0 |          0 |         16 |
| Base                                                                                                                                                  |          4 |        426 |        113 |         92 |        631 |
| Config                                                                                                                                                |          7 |        564 |        390 |        114 |      1,068 |
| DataNode                                                                                                                                              |          1 |         92 |         97 |         22 |        211 |
| DataTable                                                                                                                                             |          8 |        582 |        399 |        120 |      1,101 |
| Debugger                                                                                                                                              |         31 |      2,725 |        295 |        338 |      3,358 |
| Download                                                                                                                                              |          9 |        892 |        450 |        167 |      1,509 |
| Entity                                                                                                                                                |         15 |      1,455 |        874 |        287 |      2,616 |
| Event                                                                                                                                                 |          1 |         68 |         53 |         15 |        136 |
| FileSystem                                                                                                                                            |          4 |        304 |        141 |         64 |        509 |
| Fsm                                                                                                                                                   |          1 |        114 |        129 |         27 |        270 |
| Localization                                                                                                                                          |          7 |        676 |        711 |        127 |      1,514 |
| Network                                                                                                                                               |          6 |        316 |        208 |         65 |        589 |
| ObjectPool                                                                                                                                            |          1 |        372 |        571 |         91 |      1,034 |
| Procedure                                                                                                                                             |          1 |         91 |         38 |         20 |        149 |
| ReferencePool                                                                                                                                         |          2 |         59 |         36 |         14 |        109 |
| Resource                                                                                                                                              |         29 |      4,494 |      1,751 |        711 |      6,956 |
| Scene                                                                                                                                                 |          8 |        663 |        344 |        133 |      1,140 |
| Setting                                                                                                                                               |          6 |        712 |        698 |        174 |      1,584 |
| Sound                                                                                                                                                 |         13 |      1,315 |        625 |        246 |      2,186 |
| UI                                                                                                                                                    |         15 |      1,223 |        690 |        237 |      2,150 |
| Utility                                                                                                                                               |         10 |      1,609 |      2,516 |        241 |      4,366 |
| Variable                                                                                                                                              |         30 |        603 |        592 |        148 |      1,343 |
| WebRequest                                                                                                                                            |          8 |        730 |        469 |        144 |      1,343 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language                | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Base/BaseComponent.cs                                                               | C#                      |        314 |         48 |         64 |        426 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Base/GameEntry.cs                                                                   | C#                      |         92 |         35 |         21 |        148 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Base/GameFrameworkComponent.cs                                                      | C#                      |         11 |         12 |          3 |         26 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Base/ShutdownType.cs                                                                | C#                      |          9 |         18 |          4 |         31 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Config/ConfigComponent.cs                                                           | C#                      |        211 |        148 |         50 |        409 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Config/ConfigHelperBase.cs                                                          | C#                      |         14 |         48 |          7 |         69 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Config/DefaultConfigHelper.cs                                                       | C#                      |        119 |         48 |         15 |        182 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Config/LoadConfigDependencyAssetEventArgs.cs                                        | C#                      |         67 |         41 |         12 |        120 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Config/LoadConfigFailureEventArgs.cs                                                | C#                      |         51 |         35 |         10 |         96 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Config/LoadConfigSuccessEventArgs.cs                                                | C#                      |         51 |         35 |         10 |         96 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Config/LoadConfigUpdateEventArgs.cs                                                 | C#                      |         51 |         35 |         10 |         96 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/DataNode/DataNodeComponent.cs                                                       | C#                      |         92 |         97 |         22 |        211 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/DataTable/DataRowBase.cs                                                            | C#                      |         21 |         26 |          5 |         52 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/DataTable/DataTableComponent.cs                                                     | C#                      |        218 |        131 |         51 |        400 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/DataTable/DataTableHelperBase.cs                                                    | C#                      |         14 |         48 |          7 |         69 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/DataTable/DefaultDataTableHelper.cs                                                 | C#                      |        109 |         48 |         15 |        172 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/DataTable/LoadDataTableDependencyAssetEventArgs.cs                                  | C#                      |         67 |         41 |         12 |        120 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/DataTable/LoadDataTableFailureEventArgs.cs                                          | C#                      |         51 |         35 |         10 |         96 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/DataTable/LoadDataTableSuccessEventArgs.cs                                          | C#                      |         51 |         35 |         10 |         96 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/DataTable/LoadDataTableUpdateEventArgs.cs                                           | C#                      |         51 |         35 |         10 |         96 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerActiveWindowType.cs                                                | C#                      |         10 |         21 |          5 |         36 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.ConsoleWindow.cs                                         | C#                      |        438 |          6 |         66 |        510 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.EnvironmentInformationWindow.cs                          | C#                      |         85 |          6 |          6 |         97 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.FpsCounter.cs                                            | C#                      |         68 |          6 |         10 |         84 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.GraphicsInformationWindow.cs                             | C#                      |        161 |          6 |          4 |        171 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.InputAccelerationInformationWindow.cs                    | C#                      |         35 |          6 |          6 |         47 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.InputCompassInformationWindow.cs                         | C#                      |         39 |          6 |          4 |         49 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.InputGyroscopeInformationWindow.cs                       | C#                      |         40 |          6 |          4 |         50 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.InputLocationInformationWindow.cs                        | C#                      |         41 |          6 |          4 |         51 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.InputSummaryInformationWindow.cs                         | C#                      |         31 |          6 |          3 |         40 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.InputTouchInformationWindow.cs                           | C#                      |         39 |          6 |          6 |         51 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.LogNode.cs                                               | C#                      |         78 |         37 |         11 |        126 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.NetworkInformationWindow.cs                              | C#                      |         59 |          6 |          6 |         71 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.ObjectPoolInformationWindow.cs                           | C#                      |         83 |          6 |          7 |         96 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.OperationsWindow.cs                                      | C#                      |         54 |          6 |          7 |         67 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.PathInformationWindow.cs                                 | C#                      |         28 |          6 |          3 |         37 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.ProfilerInformationWindow.cs                             | C#                      |         59 |          6 |          3 |         68 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.QualityInformationWindow.cs                              | C#                      |         96 |          6 |          9 |        111 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.ReferencePoolInformationWindow.cs                        | C#                      |         97 |          6 |         12 |        115 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.RuntimeMemoryInformationWindow.Sample.cs                 | C#                      |         55 |          6 |          7 |         68 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.RuntimeMemoryInformationWindow.cs                        | C#                      |        121 |          6 |         16 |        143 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.RuntimeMemorySummaryWindow.Record.cs                     | C#                      |         50 |          6 |          6 |         62 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.RuntimeMemorySummaryWindow.cs                            | C#                      |        109 |          6 |         16 |        131 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.SceneInformationWindow.cs                                | C#                      |         35 |          6 |          4 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.ScreenInformationWindow.cs                               | C#                      |         79 |          6 |         11 |         96 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.ScrollableDebuggerWindowBase.cs                          | C#                      |         78 |          6 |         18 |        102 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.SettingsWindow.cs                                        | C#                      |        195 |          6 |         19 |        220 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.SystemInformationWindow.cs                               | C#                      |         52 |          6 |          5 |         63 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.TimeInformationWindow.cs                                 | C#                      |         64 |          6 |          7 |         77 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.WebPlayerInformationWindow.cs                            | C#                      |         32 |          6 |          3 |         41 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Debugger/DebuggerComponent.cs                                                       | C#                      |        314 |         69 |         50 |        433 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Download/DownloadAgentHelperBase.cs                                                 | C#                      |         18 |         45 |         11 |         74 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Download/DownloadComponent.cs                                                       | C#                      |        226 |        137 |         47 |        410 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Download/DownloadFailureEventArgs.cs                                                | C#                      |         67 |         41 |         12 |        120 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Download/DownloadStartEventArgs.cs                                                  | C#                      |         67 |         41 |         12 |        120 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Download/DownloadSuccessEventArgs.cs                                                | C#                      |         67 |         41 |         12 |        120 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Download/DownloadUpdateEventArgs.cs                                                 | C#                      |         67 |         41 |         12 |        120 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Download/UnityWebRequestDownloadAgentHelper.DownloadHandler.cs                      | C#                      |         36 |          6 |          7 |         49 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Download/UnityWebRequestDownloadAgentHelper.cs                                      | C#                      |        176 |         49 |         24 |        249 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Download/WWWDownloadAgentHelper.cs                                                  | C#                      |        168 |         49 |         30 |        247 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/AttachEntityInfo.cs                                                          | C#                      |         41 |          6 |          8 |         55 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/DefaultEntityGroupHelper.cs                                                  | C#                      |          6 |          9 |          2 |         17 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/DefaultEntityHelper.cs                                                       | C#                      |         39 |         26 |          9 |         74 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/Entity.cs                                                                    | C#                      |        188 |         69 |         24 |        281 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/EntityComponent.EntityGroup.cs                                               | C#                      |         57 |          6 |         12 |         75 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/EntityComponent.cs                                                           | C#                      |        583 |        432 |        132 |      1,147 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/EntityGroupHelperBase.cs                                                     | C#                      |          8 |          9 |          3 |         20 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/EntityHelperBase.cs                                                          | C#                      |         11 |         26 |          5 |         42 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/EntityLogic.cs                                                               | C#                      |        111 |         71 |         21 |        203 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/HideEntityCompleteEventArgs.cs                                               | C#                      |         60 |         38 |         11 |        109 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/ShowEntityDependencyAssetEventArgs.cs                                        | C#                      |         93 |         50 |         15 |        158 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/ShowEntityFailureEventArgs.cs                                                | C#                      |         78 |         44 |         13 |        135 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Entity/ShowEntityInfo.cs                                                            | C#                      |         41 |          6 |          8 |         55 |
