Date : 2024-04-17 14:30:50
Directory : /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework
Total : 331 files,  30927 codes, 21404 comments, 6514 blanks, all 58845 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |        330 |     30,913 |     21,404 |      6,514 |     58,831 |
| UnityAssemblyDefinition |          1 |         14 |          0 |          0 |         14 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/ShowEntitySuccessEventArgs.cs                                    | C#                      |         41 |         31 |          7 |         79 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/ShowEntityUpdateEventArgs.cs                                     | C#                      |         57 |         39 |          9 |        105 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Event/EventManager.cs                                                   | C#                      |         69 |         65 |         16 |        150 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Event/GameEventArgs.cs                                                  | C#                      |          6 |          9 |          2 |         17 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Event/IEventManager.cs                                                  | C#                      |         22 |         50 |         11 |         83 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/CommonFileSystemStream.cs                                    | C#                      |         84 |         60 |         19 |        163 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileInfo.cs                                                  | C#                      |         57 |         27 |         11 |         95 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystem.BlockData.cs                                      | C#                      |         57 |          9 |         11 |         77 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystem.HeaderData.cs                                     | C#                      |         81 |          9 |         16 |        106 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystem.StringData.cs                                     | C#                      |         50 |          9 |         12 |         71 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystem.cs                                                | C#                      |        971 |        219 |        192 |      1,382 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystemAccess.cs                                          | C#                      |         12 |         21 |          6 |         39 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystemManager.cs                                         | C#                      |        178 |         68 |         38 |        284 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystemStream.cs                                          | C#                      |         50 |         68 |         18 |        136 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/IFileSystem.cs                                               | C#                      |         51 |        194 |         33 |        278 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/IFileSystemHelper.cs                                         | C#                      |          7 |         16 |          2 |         25 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/IFileSystemManager.cs                                        | C#                      |         19 |         53 |         11 |         83 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/Fsm.cs                                                              | C#                      |        374 |        138 |         77 |        589 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/FsmBase.cs                                                          | C#                      |         56 |         44 |         14 |        114 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/FsmManager.cs                                                       | C#                      |        221 |        142 |         49 |        412 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/FsmState.cs                                                         | C#                      |         51 |         46 |         14 |        111 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/IFsm.cs                                                             | C#                      |         54 |        102 |         24 |        180 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/IFsmManager.cs                                                      | C#                      |         32 |        127 |         23 |        182 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/GameFramework.asmdef                                                    | UnityAssemblyDefinition |         14 |          0 |          0 |         14 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Localization/ILocalizationHelper.cs                                     | C#                      |         10 |         12 |          2 |         24 |
